channel,status,latitude,longitude,elevation
486,good,-43.87332480597519,169.04158229287324,
487,good,-43.87336161443277,169.04158867801385,
488,good,-43.87339842289037,169.04159506315446,
489,good,-43.87343523134796,169.04160144829504,
490,good,-43.87347203980555,169.04160783343565,
491,good,-43.87350802942452,169.04161770045602,
492,good,-43.87354399711093,169.0416276607384,
493,good,-43.87357996479733,169.0416376210208,
494,good,-43.87361593248374,169.04164758130318,
495,good,-43.87365190017015,169.04165754158558,
496,good,-43.87368798781097,169.04166866260366,
497,good,-43.87372417265633,169.0416807242188,
498,good,-43.87376035750169,169.0416927858339,
499,good,-43.87379654234704,169.041704847449,
500,good,-43.87383263160544,169.04171690564428,
501,good,-43.87386821252496,169.0417289456524,
502,good,-43.87390379344448,169.0417409856605,
503,good,-43.873939374364,169.04175302566864,
504,good,-43.87397495528352,169.04176506567677,
505,good,-43.87401053620304,169.04177710568487,
506,good,-43.87404625604217,169.0417892141719,
507,good,-43.874082071031815,169.04180136956234,
508,good,-43.87411788602146,169.04181352495274,
509,good,-43.87415370101111,169.04182568034318,
510,good,-43.874189516000754,169.04183783573362,
511,good,-43.874225165660434,169.04185019311845,
512,good,-43.87426081305527,169.04186255327042,
513,bad,,,
514,bad,,,
515,good,-43.87429646045009,169.0418749134224,
516,good,-43.874332107844914,169.0418872735744,
517,good,-43.87436775523974,169.04189963372636,
518,good,-43.87440333025928,169.04191203730326,
519,good,-43.87443879852086,169.04192450493463,
520,good,-43.87447426678245,169.04193697256596,
521,good,-43.87450973504404,169.0419494401973,
522,good,-43.87454520330563,169.04196190782864,
523,good,-43.87458080627174,169.04197429463693,
524,good,-43.87461645366548,169.04198665478853,
525,good,-43.87465210105921,169.04199901494013,
526,good,-43.87468774845295,169.04201137509173,
527,good,-43.87472339584669,169.04202373524333,
528,good,-43.87475904931412,169.04203611361578,
529,good,-43.87479473253487,169.04204858124712,
530,good,-43.87483041575561,169.04206104887848,
531,good,-43.87486609897636,169.04207351650982,
532,good,-43.87490178219711,169.04208598414115,
533,good,-43.874937446877816,169.04209839615362,
534,good,-43.874973094271134,169.04211075630505,
535,good,-43.87500874166445,169.0421231164565,
536,good,-43.87504438905777,169.04213547660797,
537,good,-43.875080036451095,169.04214783675943,
538,good,-43.87511568384441,169.04216019691086,
539,good,-43.87515133123914,169.04217272455648,
540,good,-43.87518697863396,169.04218526384108,
541,good,-43.8752226260288,169.0421978031257,
542,good,-43.87525827342362,169.0422103424103,
543,good,-43.87529392081844,169.04222288169493,
544,good,-43.87532958084443,169.04223539571672,
545,good,-43.87536526406518,169.04224786334808,
546,good,-43.875400947285925,169.04226033097942,
547,good,-43.87543663050668,169.04227279861078,
548,good,-43.87547231372743,169.04228526624212,
549,good,-43.875507971850205,169.04229765858125,
550,good,-43.87554361924352,169.04231001873268,
551,good,-43.87557926663684,169.04232237888414,
552,good,-43.87561491403016,169.0423347390356,
553,good,-43.87565056142348,169.04234709918703,
554,good,-43.87568622481195,169.04235940827067,
